musteri_id_mask,bilet_alma_tarihi,min_bilet_alma_zamani,gunluk_toplam_islem_sayisi,sube_kodu,x,y
20846536,25AUG2014:00:00:00,25AUG2014:13:31:30.000000,6,4,41.014741,28.973737
21021028,04JUN2015:00:00:00,04JUN2015:09:40:13.000000,1,4,41.014741,28.973737
19858904,10OCT2014:00:00:00,10OCT2014:15:10:36.000000,3,4,41.014741,28.973737
19858904,22APR2015:00:00:00,22APR2015:16:02:15.000000,2,4,41.014741,28.973737
20007351,14JAN2015:00:00:00,14JAN2015:14:58:37.000000,40,4,41.014741,28.973737
19858904,02SEP2014:00:00:00,02SEP2014:16:12:06.000000,6,4,41.014741,28.973737
20846536,16OCT2014:00:00:00,16OCT2014:13:34:22.000000,8,4,41.014741,28.973737
19858904,04FEB2015:00:00:00,04FEB2015:10:12:40.000000,9,4,41.014741,28.973737
21021028,18AUG2014:00:00:00,18AUG2014:09:34:39.000000,7,4,41.014741,28.973737
21021028,12JAN2015:00:00:00,12JAN2015:16:57:16.000000,6,4,41.014741,28.973737
15370451,15AUG2014:00:00:00,15AUG2014:12:02:31.000000,13,4,41.014741,28.973737
16948506,25JUL2014:00:00:00,25JUL2014:16:05:44.000000,7,4,41.014741,28.973737
15370451,17NOV2014:00:00:00,17NOV2014:12:18:04.000000,6,4,41.014741,28.973737
16792108,25NOV2014:00:00:00,25NOV2014:13:44:06.000000,3,4,41.014741,28.973737
15370451,09OCT2014:00:00:00,09OCT2014:12:06:25.000000,11,4,41.014741,28.973737
15370451,15SEP2014:00:00:00,15SEP2014:12:06:12.000000,10,4,41.014741,28.973737
15370451,15JUN2015:00:00:00,15JUN2015:12:16:22.000000,4,4,41.014741,28.973737
15370451,29MAY2015:00:00:00,29MAY2015:12:19:41.000000,1,4,41.014741,28.973737
15370451,01DEC2014:00:00:00,01DEC2014:12:11:51.000000,2,4,41.014741,28.973737
15370451,15APR2015:00:00:00,15APR2015:12:12:14.000000,3,4,41.014741,28.973737
15370451,15DEC2014:00:00:00,15DEC2014:11:39:52.000000,11,4,41.014741,28.973737
15370451,18MAY2015:00:00:00,18MAY2015:11:32:58.000000,4,4,41.014741,28.973737
15370451,15JAN2015:00:00:00,15JAN2015:12:10:09.000000,5,4,41.014741,28.973737
15370451,16MAR2015:00:00:00,16MAR2015:12:14:08.000000,5,4,41.014741,28.973737
18745897,08JUN2015:00:00:00,08JUN2015:13:30:04.000000,9,4,41.014741,28.973737
17755740,17OCT2014:00:00:00,17OCT2014:10:48:29.000000,10,4,41.014741,28.973737
17365229,26SEP2014:00:00:00,26SEP2014:12:22:08.000000,3,4,41.014741,28.973737
17365229,26DEC2014:00:00:00,26DEC2014:10:24:01.000000,5,4,41.014741,28.973737
17365229,09JUL2014:00:00:00,09JUL2014:16:44:11.000000,4,4,41.014741,28.973737
17755740,01JUL2014:00:00:00,01JUL2014:16:07:57.000000,3,4,41.014741,28.973737
17755740,04AUG2014:00:00:00,04AUG2014:09:53:36.000000,9,4,41.014741,28.973737
17365229,22SEP2014:00:00:00,22SEP2014:13:33:45.000000,4,4,41.014741,28.973737
17365229,07AUG2014:00:00:00,07AUG2014:16:50:35.000000,3,4,41.014741,28.973737
18639814,04FEB2015:00:00:00,04FEB2015:09:58:08.000000,4,4,41.014741,28.973737
17755740,02DEC2014:00:00:00,02DEC2014:16:09:09.000000,8,4,41.014741,28.973737
17755740,01AUG2014:00:00:00,01AUG2014:10:37:02.000000,6,4,41.014741,28.973737
17365229,04JUL2014:00:00:00,04JUL2014:17:23:47.000000,3,4,41.014741,28.973737
