tarih,musteri_id_mask,alici_musteri_id_mask,doviz_fmt,odeme_turu_fmt,havale_tutari,musteri_tip
26JAN2015:00:00:00,9054653,22855379,TURK_LIRASI,DIGER_ODEMELER,1000,TUZEL
27NOV2014:00:00:00,3054783,7569478,TURK_LIRASI,DIGER_ODEMELER,201,GERCEK
26JAN2015:00:00:00,17638957,10784674,TURK_LIRASI,DIGER_ODEMELER,699,GERCEK
27NOV2014:00:00:00,3542321,13775437,TURK_LIRASI,DIGER_ODEMELER,500,GERCEK
30DEC2014:00:00:00,4365610,5715424,TURK_LIRASI,DIGER_ODEMELER,300,GERCEK
19FEB2015:00:00:00,9054653,25365435,TURK_LIRASI,DIGER_ODEMELER,150,GERCEK
19FEB2015:00:00:00,17257260,17257188,TURK_LIRASI,DIGER_ODEMELER,1200,GERCEK
19FEB2015:00:00:00,17257260,19160043,TURK_LIRASI,DIGER_ODEMELER,3100,GERCEK
31DEC2014:00:00:00,10961244,10734637,TURK_LIRASI,DIGER_ODEMELER,95,GERCEK
28JAN2015:00:00:00,9765025,25854165,TURK_LIRASI,AIDAT,600,TUZEL
31DEC2014:00:00:00,20018440,9473305,TURK_LIRASI,DIGER_ODEMELER,110,GERCEK
01JAN2015:00:00:00,19858904,8864832,TURK_LIRASI,DIGER_ODEMELER,750,TUZEL
29JAN2015:00:00:00,9054653,22855379,TURK_LIRASI,DIGER_ODEMELER,1500,TUZEL
02JAN2015:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,425,GERCEK
02JAN2015:00:00:00,9339300,16359145,TURK_LIRASI,DIGER_ODEMELER,200,GERCEK
02JAN2015:00:00:00,9339300,25926252,TURK_LIRASI,AIDAT,315,TUZEL
23FEB2015:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,500,GERCEK
01DEC2014:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,500,GERCEK
30JAN2015:00:00:00,9054653,22855379,TURK_LIRASI,DIGER_ODEMELER,3000,TUZEL
30JAN2015:00:00:00,9339300,12457749,TURK_LIRASI,DIGER_ODEMELER,4000,GERCEK
30JAN2015:00:00:00,17967143,16064340,TURK_LIRASI,DIGER_ODEMELER,10000,GERCEK
01DEC2014:00:00:00,9339300,16359145,TURK_LIRASI,DIGER_ODEMELER,200,GERCEK
01DEC2014:00:00:00,9339300,25926252,TURK_LIRASI,AIDAT,300,TUZEL
24FEB2015:00:00:00,3542321,9412967,TURK_LIRASI,DIGER_ODEMELER,3000,GERCEK
